event_date,india_tone,india_event_count,china_tone,china_event_count
2024-11-03,-3.428,1.0,,
2025-08-31,-7.5697,1.0,,
2025-09-01,-5.1967,11.0,2.3698,12.0
2025-09-02,,,1.1169,8.0
2025-09-03,-6.4473,2.0,0.9506,17.0
2025-09-04,-2.5003,4.0,1.5748,12.0
2025-09-05,-3.4036,7.0,0.5961,6.0
2025-09-06,2.9773,3.0,-1.7011,4.0
2025-09-07,,,0.8661,8.0
2025-09-08,-7.4066,2.0,0.0,4.0
2025-09-09,-5.9584,70.0,-4.7205,15.0
2025-09-10,-4.3494,103.0,-5.6158,15.0
2025-09-11,-3.7201,44.0,-3.3088,19.0
2025-09-12,-3.5519,34.0,-3.7721,12.0
2025-09-13,0.0758,46.0,-5.9178,6.0
2025-09-14,0.2875,5.0,0.4348,60.0
2025-09-15,-4.2224,7.0,0.3192,20.0
2025-09-16,-10.2516,12.0,-1.1933,2.0
2025-09-17,0.7538,1.0,,
2025-09-18,1.575,3.0,10.2564,2.0
2025-09-19,-4.5231,4.0,2.9689,22.0
2025-09-20,-2.9772,2.0,11.6162,2.0
2025-09-21,-3.4986,9.0,,
2025-09-22,-0.2982,5.0,4.3283,3.0
2025-09-23,7.6523,2.0,-0.7987,20.0
2025-09-24,-0.1136,3.0,-0.1661,3.0
2025-09-25,-1.4762,14.0,,
2025-09-26,-5.0228,2.0,-1.7827,8.0
2025-09-27,-12.4031,1.0,3.504,1.0
2025-09-28,-4.5487,3.0,-0.2247,2.0
2025-09-29,-2.3026,2.0,-8.8435,1.0
2025-09-30,4.9002,1.0,,
2025-10-01,-5.0847,2.0,-4.0195,1.0
2025-10-02,-3.4579,5.0,-2.3422,2.0
2025-10-03,-2.6203,3.0,-2.449,2.0
2025-10-04,-2.2489,2.0,,
2025-10-05,-7.1823,3.0,-6.1834,2.0
2025-10-06,-4.7837,2.0,-0.4329,1.0
2025-10-07,-8.5499,14.0,-2.1896,3.0
2025-10-08,,,-0.7618,4.0
2025-10-09,-1.3245,3.0,,
2025-10-10,-0.1307,1.0,,
2025-10-11,1.5256,3.0,,
2025-10-12,-5.9192,5.0,-0.2448,13.0
2025-10-13,-8.4867,3.0,-4.0,2.0
2025-10-14,1.3123,2.0,,
2025-10-16,5.9172,2.0,,
2025-10-17,0.9946,6.0,-0.258,3.0
2025-10-18,-1.5228,17.0,,
2025-10-19,-0.4924,3.0,,
2025-10-20,6.5217,1.0,,
2025-10-21,,,-1.8685,2.0
2025-10-22,7.2495,1.0,-0.6703,3.0
2025-10-26,,,-3.0498,1.0
2025-10-27,-1.4119,6.0,8.4967,1.0
2025-10-28,2.35,7.0,-2.8571,1.0
2025-10-29,1.8041,9.0,-0.2388,3.0
2025-10-30,1.9938,3.0,,
2025-10-31,-5.5051,6.0,,
2025-11-01,-2.9899,12.0,,
2025-11-02,-3.2469,3.0,-3.7611,4.0
2025-11-03,-6.9959,1.0,5.5848,4.0
2025-11-04,-9.596,1.0,,
2025-11-05,,,-1.708,8.0
2025-11-06,-1.8338,7.0,,
2025-11-07,-1.9108,1.0,1.1375,5.0
2025-11-09,-3.4926,5.0,,
2025-11-10,-1.5038,2.0,,
2025-11-11,-2.1607,7.0,-9.3694,2.0
2025-11-12,-7.0588,1.0,,
2025-11-13,1.9143,8.0,-6.3615,6.0
2025-11-14,4.8996,4.0,-4.0387,6.0
2025-11-15,-3.8428,3.0,3.1839,5.0
